adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,10/15/2017,,0,Cassava - Retail (3.5 KG),1391,Jau,250,15,1,1391_68_15_47,47,3.5 KG,1508025600,2017
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,11/15/2017,,0,Cassava - Retail (3.5 KG),1391,Jau,255,15,1,1391_68_15_47,47,3.5 KG,1510704000,2017
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,12/15/2017,,0,Cassava - Retail (3.5 KG),1391,Jau,250,15,1,1391_68_15_47,47,3.5 KG,1513296000,2017
2746,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,1/15/2018,,0,Cassava - Retail (3.5 KG),1390,Rumbek,320,15,1,1390_68_15_47,47,3.5 KG,1515974400,2018
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,2/15/2018,,1,Cassava - Retail (3.5 KG),,,309.4915254,,1,,,3.5 KG,,
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,3/15/2018,,0,Cassava - Retail (3.5 KG),1391,Jau,300,15,1,1391_68_15_47,47,3.5 KG,1521072000,2018
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,4/15/2018,,0,Cassava - Retail (3.5 KG),1391,Jau,313,15,1,1391_68_15_47,47,3.5 KG,1523750400,2018
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,5/15/2018,,1,Cassava - Retail (3.5 KG),,,343.4918033,,1,,,3.5 KG,,
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,6/15/2018,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,375,15,1,1388_68_15_47,47,3.5 KG,1529020800,2018
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,7/15/2018,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,400,15,1,1388_68_15_47,47,3.5 KG,1531612800,2018
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,8/15/2018,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,400,15,1,1388_68_15_47,47,3.5 KG,1534291200,2018
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,9/15/2018,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,400,15,1,1388_68_15_47,47,3.5 KG,1536969600,2018
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,10/15/2018,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,400,15,1,1388_68_15_47,47,3.5 KG,1539561600,2018
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,11/15/2018,,1,Cassava - Retail (3.5 KG),,,349.1803279,,1,,,3.5 KG,,
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,12/15/2018,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,300,15,1,1388_68_15_47,47,3.5 KG,1544832000,2018
2768,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,1/15/2019,,0,Cassava - Retail (3.5 KG),2239,Yambio,90,15,1,2239_68_15_47,47,3.5 KG,1547510400,2019
2768,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,3/15/2019,,0,Cassava - Retail (3.5 KG),2239,Yambio,255,15,1,2239_68_15_47,47,3.5 KG,1552608000,2019
2750,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,4/15/2019,,0,Cassava - Retail (3.5 KG),1786,Torit,288,15,1,1786_68_15_47,47,3.5 KG,1555286400,2019
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,7/15/2019,,0,Cassava - Retail (3.5 KG),1391,Jau,367,15,1,1391_68_15_47,47,3.5 KG,1563148800,2019
2750,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,8/15/2019,,0,Cassava - Retail (3.5 KG),1786,Torit,400,15,1,1786_68_15_47,47,3.5 KG,1565827200,2019
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,9/15/2019,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,500,15,1,1388_68_15_47,47,3.5 KG,1568505600,2019
2750,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,10/15/2019,,0,Cassava - Retail (3.5 KG),1786,Torit,400,15,1,1786_68_15_47,47,3.5 KG,1571097600,2019
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,11/15/2019,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,500,15,1,1388_68_15_47,47,3.5 KG,1573776000,2019
