admin0,admin2,Year,Month,NDVI,NDVI_lag1
South Sudan,yambio,2011,Sep,0.8088389333333340,0.7730635333333330
South Sudan,yambio,2011,Oct,0.7416702000000000,0.8088389333333340
South Sudan,yambio,2011,Nov,0.7069124333333330,0.7416702000000000
South Sudan,yambio,2011,Dec,0.5450450333333330,0.7069124333333330
South Sudan,yambio,2012,Jan,0.39722386666666700,0.5450450333333330
South Sudan,yambio,2012,Feb,0.3962159333333330,0.39722386666666700
South Sudan,yambio,2012,Mar,0.4583759333333330,0.3962159333333330
South Sudan,yambio,2012,Apr,0.5785495333333330,0.4583759333333330
South Sudan,yambio,2012,May,0.7526708000000000,0.5785495333333330
South Sudan,yambio,2012,Jun,0.7937575,0.7526708000000000
South Sudan,yambio,2012,Jul,0.8037647333333330,0.7937575
South Sudan,yambio,2012,Aug,0.7893666333333330,0.8037647333333330
South Sudan,yambio,2012,Sep,0.7820998666666670,0.7893666333333330
South Sudan,yambio,2012,Oct,0.7380823666666670,0.7820998666666670
South Sudan,yambio,2012,Nov,0.6900245333333330,0.7380823666666670
South Sudan,yambio,2012,Dec,0.5850142333333330,0.6900245333333330
South Sudan,yambio,2013,Jan,0.4318429000000000,0.5850142333333330
South Sudan,yambio,2013,Feb,0.42102543333333300,0.4318429000000000
South Sudan,yambio,2013,Mar,0.5600809333333330,0.42102543333333300
South Sudan,yambio,2013,Apr,0.6504734666666670,0.5600809333333330
South Sudan,yambio,2013,May,0.7504432666666670,0.6504734666666670
South Sudan,yambio,2013,Jun,0.7774373666666670,0.7504432666666670
South Sudan,yambio,2013,Jul,0.7708781000000000,0.7774373666666670
South Sudan,yambio,2013,Aug,0.8116666666666670,0.7708781000000000
South Sudan,yambio,2013,Sep,0.7846159,0.8116666666666670
South Sudan,yambio,2013,Oct,0.7462425333333340,0.7846159
South Sudan,yambio,2013,Nov,0.6987371666666670,0.7462425333333340
South Sudan,yambio,2013,Dec,0.5871924666666670,0.6987371666666670
South Sudan,yambio,2014,Jan,0.46445530000000000,0.5871924666666670
South Sudan,yambio,2014,Feb,0.4690029333333330,0.46445530000000000
South Sudan,yambio,2014,Mar,0.5846552666666670,0.4690029333333330
South Sudan,yambio,2014,Apr,0.7087819333333330,0.5846552666666670
South Sudan,yambio,2014,May,0.8247165333333330,0.7087819333333330
South Sudan,yambio,2014,Jun,0.8161990333333330,0.8247165333333330
South Sudan,yambio,2014,Jul,0.7568251,0.8161990333333330
South Sudan,yambio,2014,Aug,0.7978403,0.7568251
South Sudan,yambio,2014,Sep,0.7924816666666670,0.7978403
South Sudan,yambio,2014,Oct,0.7347689666666670,0.7924816666666670
South Sudan,yambio,2014,Nov,0.6866134333333340,0.7347689666666670
South Sudan,yambio,2014,Dec,0.5729977000000000,0.6866134333333340
South Sudan,yambio,2015,Jan,0.4489790333333330,0.5729977000000000
South Sudan,yambio,2015,Feb,0.47105560000000000,0.4489790333333330
South Sudan,yambio,2015,Mar,0.5994217666666670,0.47105560000000000
South Sudan,yambio,2015,Apr,0.7303429333333330,0.5994217666666670
South Sudan,yambio,2015,May,0.7978409000000000,0.7303429333333330
South Sudan,yambio,2015,Jun,0.7835740000000000,0.7978409000000000
South Sudan,yambio,2015,Jul,0.7921920333333330,0.7835740000000000
South Sudan,yambio,2015,Aug,0.8059744333333330,0.7921920333333330
South Sudan,yambio,2015,Sep,0.7947374666666670,0.8059744333333330
South Sudan,yambio,2015,Oct,0.7269846666666670,0.7947374666666670
South Sudan,yambio,2015,Nov,0.6760921666666670,0.7269846666666670
South Sudan,yambio,2015,Dec,0.5600876666666670,0.6760921666666670
South Sudan,yambio,2016,Jan,0.4284829666666670,0.5600876666666670
South Sudan,yambio,2016,Feb,0.4336601666666670,0.4284829666666670
South Sudan,yambio,2016,Mar,0.5374634333333330,0.4336601666666670
South Sudan,yambio,2016,Apr,0.725155,0.5374634333333330
South Sudan,yambio,2016,May,0.8136128333333330,0.725155
South Sudan,yambio,2016,Jun,0.8041332,0.8136128333333330
South Sudan,yambio,2016,Jul,0.8158609666666670,0.8041332
South Sudan,yambio,2016,Aug,0.8040848333333340,0.8158609666666670
South Sudan,yambio,2016,Sep,0.7942073333333330,0.8040848333333340
South Sudan,yambio,2016,Oct,0.7451849333333330,0.7942073333333330
South Sudan,yambio,2016,Nov,0.6771245666666670,0.7451849333333330
South Sudan,yambio,2016,Dec,0.5350337666666670,0.6771245666666670
South Sudan,yambio,2017,Jan,0.4161696333333330,0.5350337666666670
South Sudan,yambio,2017,Feb,0.4431879,0.4161696333333330
South Sudan,yambio,2017,Mar,0.5098267666666670,0.4431879
South Sudan,yambio,2017,Apr,0.5690592000000000,0.5098267666666670
South Sudan,yambio,2017,May,0.7793782,0.5690592000000000
South Sudan,yambio,2017,Jun,0.8140688333333330,0.7793782
South Sudan,yambio,2017,Jul,0.7985977666666670,0.8140688333333330
South Sudan,yambio,2017,Aug,0.8168577000000000,0.7985977666666670
South Sudan,yambio,2017,Sep,0.7961930666666670,0.8168577000000000
South Sudan,yambio,2017,Oct,0.7609637666666670,0.7961930666666670
South Sudan,yambio,2017,Nov,0.7069469,0.7609637666666670
South Sudan,yambio,2017,Dec,0.5489062333333330,0.7069469
South Sudan,yambio,2018,Jan,0.4100999666666670,0.5489062333333330
South Sudan,yambio,2018,Feb,0.41787103333333300,0.4100999666666670
South Sudan,yambio,2018,Mar,0.5731933333333330,0.41787103333333300
South Sudan,yambio,2018,Apr,0.7201774666666670,0.5731933333333330
South Sudan,yambio,2018,May,0.7894438333333340,0.7201774666666670
South Sudan,yambio,2018,Jun,0.8071531666666670,0.7894438333333340
South Sudan,yambio,2018,Jul,0.7926541333333330,0.8071531666666670
South Sudan,yambio,2018,Aug,0.7789027333333340,0.7926541333333330
South Sudan,yambio,2018,Sep,0.7768882666666670,0.7789027333333340
South Sudan,yambio,2018,Oct,0.7247165333333330,0.7768882666666670
South Sudan,yambio,2018,Nov,0.6708438666666670,0.7247165333333330
South Sudan,yambio,2018,Dec,0.5496864,0.6708438666666670
South Sudan,yambio,2019,Jan,0.4654462333333330,0.5496864
South Sudan,yambio,2019,Feb,0.48050776666666700,0.4654462333333330
South Sudan,yambio,2019,Mar,0.5691154333333330,0.48050776666666700
South Sudan,yambio,2019,Apr,0.6524386666666670,0.5691154333333330
South Sudan,yambio,2019,May,0.7637249666666670,0.6524386666666670
South Sudan,yambio,2019,Jun,0.8122691666666670,0.7637249666666670
South Sudan,yambio,2019,Jul,0.8069421333333330,0.8122691666666670
South Sudan,yambio,2019,Aug,0.7925104,0.8069421333333330
South Sudan,yambio,2019,Sep,0.8094277333333330,0.7925104
South Sudan,nzara,2002,Jan,0.7766334,0.8094277333333330
South Sudan,nzara,2002,Feb,0.7874248333333340,0.7766334
South Sudan,nzara,2002,Mar,0.7865140333333330,0.7874248333333340
South Sudan,nzara,2002,Apr,0.7382996000000000,0.7865140333333330
South Sudan,nzara,2002,May,0.6638481666666670,0.7382996000000000
South Sudan,nzara,2002,Jun,0.5648928333333330,0.6638481666666670
South Sudan,nzara,2003,Jan,0.45258403333333300,0.5648928333333330
South Sudan,nzara,2003,Feb,0.4535442333333330,0.45258403333333300
South Sudan,nzara,2003,Mar,0.5175719,0.4535442333333330
South Sudan,nzara,2003,Apr,0.6286490666666670,0.5175719
South Sudan,nzara,2003,May,0.7569540666666670,0.6286490666666670
South Sudan,nzara,2003,Jun,0.8039856333333330,0.7569540666666670
South Sudan,nzara,2003,Jul,0.8055693666666670,0.8039856333333330
South Sudan,nzara,2003,Aug,0.8004035666666670,0.8055693666666670
South Sudan,nzara,2003,Sep,0.7950445000000000,0.8004035666666670
South Sudan,nzara,2003,Oct,0.7385764,0.7950445000000000
South Sudan,nzara,2003,Nov,0.6684081000000000,0.7385764
South Sudan,nzara,2003,Dec,0.5604497,0.6684081000000000
South Sudan,nzara,2004,Jan,0.4351306666666670,0.5604497
South Sudan,nzara,2004,Feb,0.4630116,0.4351306666666670
South Sudan,nzara,2004,Mar,0.48135866666666700,0.4630116
South Sudan,nzara,2004,Apr,0.5961082333333330,0.48135866666666700
South Sudan,nzara,2004,May,0.7604381666666670,0.5961082333333330
South Sudan,nzara,2004,Jun,0.8151043333333330,0.7604381666666670
South Sudan,nzara,2004,Jul,0.8198839333333330,0.8151043333333330
South Sudan,nzara,2004,Aug,0.8076415666666670,0.8198839333333330
South Sudan,nzara,2004,Sep,0.7835015666666670,0.8076415666666670
South Sudan,nzara,2004,Oct,0.7489651000000000,0.7835015666666670
South Sudan,nzara,2004,Nov,0.6778866666666670,0.7489651000000000
South Sudan,nzara,2004,Dec,0.5451994333333330,0.6778866666666670
South Sudan,nzara,2005,Jan,0.4077691666666670,0.5451994333333330
South Sudan,nzara,2005,Feb,0.39644693333333300,0.4077691666666670
South Sudan,nzara,2005,Mar,0.45399266666666700,0.39644693333333300
South Sudan,nzara,2005,Apr,0.5642641666666670,0.45399266666666700
South Sudan,nzara,2005,May,0.7640593333333330,0.5642641666666670
South Sudan,nzara,2005,Jun,0.8164439333333330,0.7640593333333330
South Sudan,nzara,2005,Jul,0.8116756666666670,0.8164439333333330
South Sudan,nzara,2005,Aug,0.8217809333333330,0.8116756666666670
South Sudan,nzara,2005,Sep,0.8000196000000000,0.8217809333333330
South Sudan,nzara,2005,Oct,0.7565816333333330,0.8000196000000000
South Sudan,nzara,2005,Nov,0.6378447333333330,0.7565816333333330
South Sudan,nzara,2005,Dec,0.4776963666666670,0.6378447333333330
South Sudan,nzara,2006,Jan,0.4418277666666670,0.4776963666666670
South Sudan,nzara,2006,Feb,0.426928,0.4418277666666670
South Sudan,nzara,2006,Mar,0.4651344333333330,0.426928
South Sudan,nzara,2006,Apr,0.6002460666666670,0.4651344333333330
South Sudan,nzara,2006,May,0.7276281333333330,0.6002460666666670
South Sudan,nzara,2006,Jun,0.8131201666666670,0.7276281333333330
South Sudan,nzara,2006,Jul,0.7929800666666670,0.8131201666666670
South Sudan,nzara,2006,Aug,0.8044919000000000,0.7929800666666670
South Sudan,nzara,2006,Sep,0.8007484666666670,0.8044919000000000
South Sudan,nzara,2006,Oct,0.7398502666666670,0.8007484666666670
South Sudan,nzara,2006,Nov,0.6638511333333330,0.7398502666666670
South Sudan,nzara,2006,Dec,0.5686531333333330,0.6638511333333330
South Sudan,nzara,2007,Jan,0.43224783333333300,0.5686531333333330
South Sudan,nzara,2007,Feb,0.4125573,0.43224783333333300
South Sudan,nzara,2007,Mar,0.49181730000000000,0.4125573
South Sudan,nzara,2007,Apr,0.6087819,0.49181730000000000
South Sudan,nzara,2007,May,0.7681195,0.6087819
South Sudan,nzara,2007,Jun,0.8024430333333330,0.7681195
South Sudan,nzara,2007,Jul,0.7756248333333330,0.8024430333333330
South Sudan,nzara,2007,Aug,0.8101124000000000,0.7756248333333330
South Sudan,nzara,2007,Sep,0.8032477666666670,0.8101124000000000
South Sudan,nzara,2007,Oct,0.7627663666666670,0.8032477666666670
South Sudan,nzara,2007,Nov,0.6977245666666670,0.7627663666666670
South Sudan,nzara,2007,Dec,0.5834913333333330,0.6977245666666670
South Sudan,nzara,2008,Jan,0.45243480000000000,0.5834913333333330
South Sudan,nzara,2008,Feb,0.4448962666666670,0.45243480000000000
South Sudan,nzara,2008,Mar,0.5096782666666670,0.4448962666666670
South Sudan,nzara,2008,Apr,0.6689081333333330,0.5096782666666670
South Sudan,nzara,2008,May,0.8122744666666670,0.6689081333333330
South Sudan,nzara,2008,Jun,0.8272444666666670,0.8122744666666670
South Sudan,nzara,2008,Jul,0.8027725666666670,0.8272444666666670
South Sudan,nzara,2008,Aug,0.8164696,0.8027725666666670
South Sudan,nzara,2008,Sep,0.7861236333333330,0.8164696
South Sudan,nzara,2008,Oct,0.7363951666666670,0.7861236333333330
South Sudan,nzara,2008,Nov,0.6667259333333330,0.7363951666666670
South Sudan,nzara,2008,Dec,0.5445159000000000,0.6667259333333330
South Sudan,nzara,2009,Jan,0.45376383333333300,0.5445159000000000
South Sudan,nzara,2009,Feb,0.4913130666666670,0.45376383333333300
South Sudan,nzara,2009,Mar,0.5674986,0.4913130666666670
South Sudan,nzara,2009,Apr,0.6753344000000000,0.5674986
South Sudan,nzara,2009,May,0.7616147,0.6753344000000000
South Sudan,nzara,2009,Jun,0.7996041333333330,0.7616147
South Sudan,nzara,2009,Jul,0.8081923666666670,0.7996041333333330
South Sudan,nzara,2009,Aug,0.7999748333333330,0.8081923666666670
South Sudan,nzara,2009,Sep,0.7834527000000000,0.7999748333333330
South Sudan,nzara,2009,Oct,0.7466277666666670,0.7834527000000000
South Sudan,nzara,2009,Nov,0.6667588000000000,0.7466277666666670
