State,,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Unity,Unity,Unity,Unity,Unity,Unity,Upper Nile,Upper Nile,Upper Nile,Upper Nile,Upper Nile,Warrap,Warrap,Warrap,Warrap,Warrap,Warrap,Warrap,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria
2012,Jun,0,0,0,0,0,,0,0,0,0,0,,,,,0,0,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,,0,0,0,3,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,0,0,0,,,,,,,,,8,8,8,8,8,,3,3,,0,,3,0,3
2012,Mar,0,0,0,0,0,,0,0,0,0,0,,,,,0,0,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,,3,3,3,2,0,0,,,,6,6,,6,0,0,0,0,6,6,6,6,,,,,,,,0,,,,,0,0,0,,,,,,,,,3,3,3,3,3,,2,2,,0,,2,0,2
2012,May,6,6,6,6,0,,0,0,0,0,6,,,,,6,6,6,,,,,6,6,6,6,7,7,,0,0,0,0,0,,,0,0,0,0,,0,0,0,3,0,0,,,,6,6,,6,0,0,0,0,6,6,6,6,,,,,,,,6,,,,,0,0,0,,,,,,,,,6,6,6,6,6,,3,3,,0,,3,0,3
2012,Nov,6,6,6,6,6,,5,5,6,5,0,,,,,0,0,0,,,,,6,6,6,6,6,6,,0,0,0,0,0,,,0,0,0,0,,10,10,10,4,0,0,,,,6,6,,6,0,0,0,0,6,6,6,6,,,,,,,,6,,,,,8,9,8,,,,,,,,,5,5,5,5,5,,4,4,,6,,4,10,4
2012,Oct,6,6,6,6,3,,3,3,5,3,7,,,,,7,3,3,,,,,5,4,4,4,7,7,,2,6,6,6,6,,,2,4,4,6,,10,10,10,10,6,6,,,,5,5,,5,0,0,0,0,0,0,0,0,,,,,,,,5,,,,,5,5,5,,,,,,,,,0,0,0,0,0,,0,0,,5,,0,0,0
2012,Sep,8,8,8,8,7,,3,3,5,3,0,,,,,0,0,0,,,,,5,7,7,7,7,7,,0,6,6,6,6,,,0,5,5,5,,0,0,0,6,5,5,,,,2,2,,2,2,2,2,2,2,2,2,2,,,,,,,,7,,,,,10,10,10,,,,,,,,,0,0,0,0,0,,6,6,,7,,6,0,6
2013,Apr,6,6,6,6,6,6,0,0,6,0,,5,,,,5,5,5,0,0,,,5,5,5,5,5,5,,,9,9,9,9,,,0,9,9,9,,0,0,0,2,9,9,,,,9,9,,9,0,0,0,0,0,0,0,0,,,,,,,,5,,,10,,9,10,9,,,,,,,,,,,,,,,2,2,,6,,2,4,3
2013,Aug,7,7,7,7,6,4,4,4,6,4,,0,,,,0,0,0,0,0,,,6,6,6,6,6,6,,,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,,,,8,8,,8,0,0,0,0,0,0,0,0,,,,,,,,6,,,10,,8,8,8,,,,,,,,,,,,,,,0,0,,6,,0,10,0
2013,Dec,7,7,7,7,6,6,0,0,6,0,,6,,,,6,7,7,0,0,,,6,6,6,6,7,7,,,0,0,0,0,,,0,0,0,0,,6,6,6,4,0,0,,,,8,8,,8,0,0,0,0,0,0,0,0,,,,,,,,6,,,0,,8,8,8,,,,,,,,,,,,,,,4,4,,6,,4,10,4
2013,Feb,6,6,6,6,6,3,3,3,6,3,,0,,,,0,0,0,8,8,,,6,6,6,6,6,6,,,17,17,17,17,,,0,8,8,9,,10,10,10,2,9,9,,,,3,3,,3,2,2,2,2,2,2,2,2,,,,,,,,6,,,8,,10,10,10,,,,,,,,,,,,,,,2,2,,6,,2,5,2
