state,ea,weight,hh,hhsize,index,own_pre,owntotal_pre,yearp,vintage,price_pre,curr_pre,conv2ssp,own_post,owntotal_post,price_post,curr_post,drate,drate_median,cons_d,cons_d_weekly,cons_d_daily,cons_d_daily_pc
"Northern Bahr El Ghazal",2,454.05,8,9,"Mosquito net","Yes",3,2010,6,10,"SSP",2.31,"Yes",3,15,"SSP",.11002269,.1100227,8.046038,.154202,.0220289,.0024477
"Northern Bahr El Ghazal",2,454.05,9,5,"Mattress or bed","Yes",4,2004,12,80,"SDG",26.92,"Yes",4,170,"SSP",.0959599,.0959599,123.6349,2.369458,.338494,.0676988
"Northern Bahr El Ghazal",2,454.05,9,5,"Hoe, spade or axe","Yes",5,2013,3,10,"SSP",4.27,"Yes",4,15,"SSP",.12295382,.1229538,14.70619,.2818434,.0402633,.0080527
"Northern Bahr El Ghazal",2,454.05,9,5,"Mosquito net","Yes",5,2010,6,10,,,"Yes",5,15,"SSP",.11002269,.1100227,13.41006,.2570032,.0367148,.007343
"Northern Bahr El Ghazal",2,454.05,10,4,"Mosquito net","Yes",4,2009,7,25,"SSP",2.32,"Yes",3,25,"SSP",.00497512,.1100227,13.41006,.2570032,.0367148,.0091787
"Northern Bahr El Ghazal",2,454.05,10,4,"Hoe, spade or axe","Yes",3,2011,5,35,"SSP",3.55,"Yes",3,37.5,,.12295382,.1229538,22.05928,.4227651,.060395,.0150988
"Northern Bahr El Ghazal",2,454.05,10,4,"Mattress or bed","Yes",1,2000,16,20,"SSP",257.14,"Yes",1,300,,.0959599,.0959599,48.16946,.9231656,.1318808,.0329702
"Northern Bahr El Ghazal",2,454.05,11,9,"Hoe, spade or axe","Yes",4,2012,4,150,"SSP",4.45,"Yes",5,25,,.36423572,.1229538,24.51031,.469739,.0671056,.0074562
"Northern Bahr El Ghazal",2,454.05,11,9,"Mosquito net","Yes",8,2008,8,25,,,"Yes",3,20,,.0323458,.1100227,10.72805,.2056026,.0293718,.0032635
"Northern Bahr El Ghazal",2,454.05,11,9,"Radio or transistor","Yes",1,2010,6,160,"SSP",2.31,"Yes",1,60,,.15503416,.1715889,15.95291,.3057368,.0436767,.004853
"Northern Bahr El Ghazal",2,454.05,11,9,"Mattress or bed","Yes",6,2011,5,240,"SSP",3.55,"Yes",4,150,,.09424667,.0959599,96.33892,1.846331,.2637616,.0293068
"Northern Bahr El Ghazal",2,454.05,12,7,"Mattress or bed","Yes",1,,3,150,,,"Yes",3,200,,.0959599,.0959599,96.33892,1.846331,.2637616,.0376802
"Northern Bahr El Ghazal",2,454.05,12,7,"Radio or transistor","Yes",1,2014,2,20,"SSP",4.66,"Yes",1,10,"SSP",.29641116,.1715889,2.658818,.0509561,.0072794,.0010399
"Northern Bahr El Ghazal",3,65.70428,1,8,"Mattress or bed","Yes",6,2015,1,250,"SSP",9.91,"Yes",4,150,"SSP",.0959599,.0959599,144.5084,2.769497,.3956424,.0494553
"Northern Bahr El Ghazal",3,65.70428,1,8,"Mobile phone","Yes",3,2014,2,500,"SSP",4.66,"Yes",1,200,"SSP",.37069101,.2133638,66.53656,1.27517,.1821672,.0227709
"Northern Bahr El Ghazal",3,65.70428,2,6,"Cars","Yes",13,,4,23000,,,"Yes",15,19500,,.04520391,.0452039,32832.49,629.2332,89.89046,14.98174
"Northern Bahr El Ghazal",3,65.70428,2,6,"Mattress or bed","Yes",5,2014,2,340,"SSP",4.66,"Yes",4,230,"SSP",.18161361,.0959599,133.2688,2.554091,.3648702,.0608117
"Northern Bahr El Ghazal",3,65.70428,2,6,"Mosquito net","Yes",5,2013,3,20,"SSP",4.27,"Yes",4,35,"SSP",.11002269,.1100227,22.35011,.4283388,.0611913,.0101985
"Northern Bahr El Ghazal",3,65.70428,2,6,"Radio or transistor","Yes",1,2012,4,97.5,,,"Yes",1,50,,.15797442,.1715889,13.29409,.2547807,.0363972,.0060662
"Northern Bahr El Ghazal",3,65.70428,2,6,"Mobile phone","Yes",1,2012,4,200,"SSP",4.45,"Yes",1,270,"SSP",.21336377,.2133638,89.82436,1.72148,.2459257,.0409876
"Northern Bahr El Ghazal",3,65.70428,2,6,"Hoe, spade or axe","Yes",2,2015,1,10,"SSP",9.91,"Yes",2,15,"SSP",.12295382,.1229538,8.823712,.1691061,.024158,.0040263
"Northern Bahr El Ghazal",3,65.70428,3,6,"Hoe, spade or axe",,,2014,2,30,"SSP",4.66,"Yes",2,20,,.18756559,.1229538,9.804125,.1878956,.0268422,.0044737
"Northern Bahr El Ghazal",3,65.70428,3,6,"Bicycle","Yes",1,2000,16,175,,,"Yes",1,750,,.04060447,.0406045,70.46212,1.350403,.1929148,.0321525
"Northern Bahr El Ghazal",3,65.70428,3,6,"Mattress or bed","Yes",5,,3,150,,,"Yes",3,200,"SSP",.0959599,.0959599,96.33892,1.846331,.2637616,.0439603
"Northern Bahr El Ghazal",3,65.70428,3,6,"Mosquito net","Yes",3,2012,4,25,"SSP",4.45,"Yes",1,18,,.08342699,.1100227,3.218415,.0616808,.0088115,.0014686
"Northern Bahr El Ghazal",3,65.70428,4,6,"Mattress or bed","Yes",12,2009,7,480,"SSP",2.32,"Yes",3,130,,.17435875,.0959599,62.6203,1.200115,.171445,.0285742
"Northern Bahr El Ghazal",3,65.70428,4,6,"Hoe, spade or axe","Yes",1,2014,2,20,"SSP",4.66,"Yes",1,20,"SSP",.00497512,.1229538,3.92165,.0751582,.0107369,.0017895
"Northern Bahr El Ghazal",3,65.70428,4,6,"Mosquito net","Yes",3,2014,2,75,"SSP",4.66,"Yes",3,20,,.48617136,.1100227,10.72805,.2056026,.0293718,.0048953
"Northern Bahr El Ghazal",3,65.70428,5,6,"Mattress or bed","Yes",2,2013,3,50,"SSP",4.27,"Yes",3,65,"SSP",.0959599,.0959599,74.66266,1.430907,.2044152,.0340692
"Northern Bahr El Ghazal",3,65.70428,5,6,"Hoe, spade or axe","Yes",2,2014,2,10,"SSP",4.66,"Yes",3,15,"SSP",.12295382,.1229538,14.70619,.2818434,.0402633,.0067106
"Northern Bahr El Ghazal",3,65.70428,5,6,"Mosquito net","Yes",2,2013,3,30,"SSP",4.27,"Yes",2,35,"SSP",.11002269,.1100227,11.62205,.2227362,.0318195,.0053032
"Northern Bahr El Ghazal",3,65.70428,6,4,"Mosquito net","Yes",4,2012,4,15,"SSP",4.45,"Yes",2,18,,.11002269,.1100227,6.43683,.1233616,.0176231,.0044058
"Northern Bahr El Ghazal",3,65.70428,6,4,"Motorcycle/motor",,0,2015,1,3500,,,"Yes",1,4250,,.12206381,.1220638,828.2266,15.87292,2.267561,.5668902
"Northern Bahr El Ghazal",3,65.70428,6,4,"Mattress or bed","Yes",3,2012,4,200,,,"Yes",3,400,"SSP",.0959599,.0959599,128.4519,2.461775,.3516821,.0879205
"Northern Bahr El Ghazal",3,65.70428,6,4,"Mobile phone",,0,2015,1,150,"SSP",9.91,"Yes",1,100.5,,.33333333,.2133638,33.43462,.6407731,.091539,.0228848
"Northern Bahr El Ghazal",3,65.70428,6,4,"Hoe, spade or axe","Yes",2,2014,2,40,"SSP",4.66,"Yes",2,20,,.29641116,.1229538,9.804125,.1878956,.0268422,.0067106
"Northern Bahr El Ghazal",3,65.70428,7,8,"Mattress or bed",,,2014,2,200,,,"Yes",4,200,,.00497512,.0959599,128.4519,2.461775,.3516821,.0439603
"Northern Bahr El Ghazal",3,65.70428,7,8,"Mosquito net",,,,2,25,"SSP",,"Yes",2,22.5,,.05603652,.1100227,7.599036,.1456352,.020805,.0026006
"Northern Bahr El Ghazal",3,65.70428,8,10,"Mosquito net","Yes",12,2014,2,30,"SSP",4.66,"Yes",10,35,"SSP",.11002269,.1100227,38.44218,.7367427,.105249,.0105249
