data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6312091,728,SSD1026,1026,"14 March 2014",2014,2,"Violence against civilians",Attack,"Unidentified Armed Group (South Sudan)",,3,"Civilians (Sudan)",,7,37,"Eastern Africa","South Sudan","Upper Nile",Renk,Renk,Renk,11.75,32.8,2,"Sudan Tribune",Regional,"Unidentified armed group killed and abducted Sudanese herders in Upper Nile State (Sudanese transhumance populations travel through Upper Nile with cattle for grazing).",0,1572403782,SSD
6973374,728,SSD1024,1024,"14 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Duk Youth Militia (South Sudan)",,3,23,"Eastern Africa","South Sudan",Jonglei,Duk,"Duk Padiet","Duk Fadiat",7.7508,31.4087,1,"Anadolu Agency; SSBC TV",National-International,"In Palouch and surrounding areas, Duk County, fighting broke out between youth and opposition forces for three days. Deaths: Friday - 17 opposition, 6 youth; Sunday - 9 opposition, 3 youths.",23,1583194165,SSD
6311921,728,SSD1020,1020,"14 March 2014",2014,1,Protests,"Peaceful protest","Protesters (South Sudan)","Students (South Sudan)",6,,,0,60,"Eastern Africa","South Sudan","Western Bahr el Ghazal",Wau,Udici,Wau,7.718,28.007,1,"Sudan Tribune",Regional,"Students protested against the UN. They demanded the UN leave Wau. Governent forces intervened before the protests turned into rioting.",0,1572403782,SSD
5324656,728,SSD1017,1017,"13 March 2014",2014,1,Protests,"Peaceful protest","Protesters (South Sudan)",,6,,,0,60,"Eastern Africa","South Sudan",Lakes,"Rumbek Centre",Kuei,Rumbek,6.819,29.7,1,"SSBC TV",National,"Demonstrations against UNMISS in Rumbek.",0,1561469338,SSD
6269905,728,SSD1019,1019,"13 March 2014",2014,1,"Violence against civilians",Attack,"Military Forces of South Sudan (2011-)",,1,"Civilians (South Sudan)","Nuer Ethnic Group (South Sudan)",7,17,"Eastern Africa","South Sudan",Jonglei,"Bor South",Bor,Bor,6.2089,31.5586,2,HRW,Other,"Governemnt soldiers beat a Nuer men near a camp in Bor. They removed him, and he was presumed killed.",1,1572403721,SSD
6974164,728,SSD1018,1018,"13 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan","Upper Nile",Malakal,Obwa,Malakal,9.541,31.652,1,AFP,International,"Fighting in Malakal.",0,1583194168,SSD
5828403,728,SSD1015,1015,"12 March 2014",2014,1,Battles,"Armed clash","Waat Communal Militia (South Sudan)",,4,"Panyar Clan Militia (South Sudan)",,4,44,"Eastern Africa","South Sudan",Lakes,Cueibet,Cueibet,Cueibet,7.0317,29.2472,1,"Radio Miraya",National,"Inter Communal clashes in Mangony cattle camp in Cueibet between Waat and Panyar clans (Sudan Tribune says the clash occurred in Wunthou cattle camp in Tiap Tiap). Both groups belong to the Dinka Ngok community. 34 people killed.",34,1567462230,SSD
6304828,728,SSD1016,1016,"12 March 2014",2014,1,"Violence against civilians",Attack,"Police Forces of South Sudan (2011-)",,1,"Civilians (South Sudan)","Military Forces of South Sudan (2011-)",7,17,"Eastern Africa","South Sudan","Central Equatoria",Juba,Juba,Juba,4.8609,31.6178,1,"Radio Tamazuj",Regional,"An SPLA brigadier general was killed after a dispute with some police, one of whom was allegedly drunk.",1,1572403773,SSD
6312107,728,SSD1014,1014,"12 March 2014",2014,2,Battles,"Armed clash","Twic East Area Youth Militia (South Sudan)",,4,"Unidentified Armed Group (South Sudan)",,3,34,"Eastern Africa","South Sudan",Jonglei,"Twic East",Kongor,Panyagor,7.1633,31.4059,2,"Sudan Tribune",Regional,"Twic east youth fought animal raiders near Pading. The raiders were suspected to be of the Murle group but it was not verified. 3 people died.",3,1572403782,SSD
6974141,728,SSD1011,1011,"12 March 2014",2014,2,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan",Jonglei,Duk,"Duk Padiet","Duk Fadiat",7.7508,31.4087,2,AFP,International,"Reports that the opposition attacked government troops in Duk region. (Duk officials claim that government troops have not arrived in the area).",0,1583194168,SSD
6974197,728,SSD1013,1013,"12 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan","Upper Nile",Malakal,Obwa,Malakal,9.541,31.652,1,AFP,International,"Fighting in Malakal.",0,1583194169,SSD
6975480,728,SSD1012,1012,"12 March 2014",2014,2,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan",Unity,Leer,Koch,Leer,8.2936,30.1326,1,"Radio Tamazuj",Regional,"Fighting in Leer.",0,1583194175,SSD
6305611,728,SSD1010,1010,"10 March 2014",2014,1,"Strategic developments","Looting/property destruction","Murle Ethnic Militia (South Sudan)",,4,,,0,40,"Eastern Africa","South Sudan",Jonglei,"Twic East",Kongor,Kongor,7.1551,31.3545,2,"Radio Tamazuj",Regional,"Looting: A group of youth believed to be from the Murle tribe engaged in a cattle raid from a camp in Kongor Payam.",0,1572403774,SSD
6233478,728,SSD1006,1006,"10 March 2014",2014,1,Protests,"Peaceful protest","Protesters (South Sudan)",,6,,,0,60,"Eastern Africa","South Sudan","Central Equatoria",Juba,Juba,Juba,4.8609,31.6178,1,"AP; Anadolu Agency",International,"Protesters demonstrated for three reasons: 1. Denouncing Hilde Johnson of the UN after weapons were found in Lakes, 2. in support of Kiir, and 3. against opposition requests for early elections and a transitional government.",0,1572403613,SSD
6868102,728,SSD1009,1009,"10 March 2014",2014,1,Battles,"Armed clash","Gaak Communal Militia (South Sudan)",,4,"Manuer Communal Militia (South Sudan)",,4,44,"Eastern Africa","South Sudan",Lakes,"Rumbek North",Rumkor,Rumkor,7.63,29.69,2,"Radio Tamazuj",Regional,"9 people were killed and four suffered gunshot wounds over a dispute which brought out about a girl at Yhaga cattle camp between the Gaak and Manuer clans.",9,1581982137,SSD
6973373,728,SSD1008,1008,"10 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Duk Youth Militia (South Sudan)",,3,23,"Eastern Africa","South Sudan",Jonglei,Duk,"Duk Padiet","Duk Fadiat",7.7508,31.4087,1,"Eye Radio (South Sudan); Turkish Press",National-International,"Opposition forces fought with Duk Youth over two days of fighting. The hospital was burned down, looted and two civilians killed.",1,1583194165,SSD
6974711,728,SSD1007,1007,"10 March 2014",2014,2,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan","Upper Nile",Malakal,Obwa,Malakal,9.541,31.652,1,"Digital Media Source",Other,"Fighting in Malakal brought humanitarian operations to a halt.",0,1583194170,SSD
