state,ea,hh,weight,hhweight,year,plinePPP,poor,tc_imp,wave,accesibility,night_lights,population
NORTHERN BAHR EL GHAZAL,24,9,82.72094727,992.6513672,2015,8.712560654,1,2.272041082,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,24,10,82.72094727,579.0466309,2015,8.712560654,1,4.876365185,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,24,10,82.72094727,579.0466309,2016,8.712560654,0,11.59249878,2,6.5,0.082468517,139
NORTHERN BAHR EL GHAZAL,24,11,82.72094727,496.3256836,2015,8.712560654,0,9.726965904,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,24,11,82.72094727,496.3256836,2016,8.712560654,1,2.808049679,2,6.5,0.082468517,139
NORTHERN BAHR EL GHAZAL,24,12,82.72094727,248.1628418,2016,8.712560654,1,2.649718285,2,6.5,0.082468517,139
NORTHERN BAHR EL GHAZAL,24,12,82.72094727,248.1628418,2015,8.712560654,0,29.55664063,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,27,1,57.95735168,521.6161499,2015,8.712560654,1,4.551837921,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,1,57.95735168,521.6161499,2016,8.712560654,1,3.543497324,2,6,0.079666883,106
NORTHERN BAHR EL GHAZAL,27,2,57.95735168,289.7867432,2015,8.712560654,0,19.32838058,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,2,57.95735168,521.6161499,2016,8.712560654,1,6.994681835,2,6,0.079666883,106
NORTHERN BAHR EL GHAZAL,27,3,57.95735168,695.4882202,2016,8.712560654,0,43.12804031,2,6,0.079666883,106
NORTHERN BAHR EL GHAZAL,27,3,57.95735168,1275.061768,2015,8.712560654,0,11.00249767,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,4,57.95735168,637.5308838,2015,8.712560654,0,11.86717606,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,5,57.95735168,405.7014771,2015,8.712560654,1,6.565862179,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,6,57.95735168,579.5734863,2015,8.712560654,1,6.253004074,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,6,57.95735168,579.5734863,2016,8.712560654,1,4.231508732,2,6,0.079666883,106
NORTHERN BAHR EL GHAZAL,27,7,57.95735168,521.6161499,2016,8.712560654,1,2.131740808,2,6,0.079666883,106
NORTHERN BAHR EL GHAZAL,27,7,57.95735168,579.5734863,2015,8.712560654,0,8.805850029,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,8,57.95735168,637.5308838,2016,8.712560654,0,12.96006393,2,6,0.079666883,106
NORTHERN BAHR EL GHAZAL,27,8,57.95735168,579.5734863,2015,8.712560654,0,24.1015873,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,9,57.95735168,579.5734863,2015,8.712560654,1,4.00595808,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,9,57.95735168,811.4029541,2016,8.712560654,1,3.777876139,2,6,0.079666883,106
NORTHERN BAHR EL GHAZAL,27,10,57.95735168,347.7441101,2015,8.712560654,0,10.38963509,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,11,57.95735168,289.7867432,2015,8.712560654,1,5.071547985,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,11,57.95735168,289.7867432,2016,8.712560654,0,14.99629021,2,6,0.079666883,106
NORTHERN BAHR EL GHAZAL,27,12,57.95735168,289.7867432,2015,8.712560654,0,21.85260963,1,6,0.079666883,81
NORTHERN BAHR EL GHAZAL,27,12,57.95735168,463.6588135,2016,8.712560654,0,8.382127762,2,6,0.079666883,106
NORTHERN BAHR EL GHAZAL,27,13,57.06771469,114.1354294,2016,8.712560654,1,5.796557903,2,6,0.079666883,106
NORTHERN BAHR EL GHAZAL,29,1,44.97906494,314.8534546,2015,8.712560654,0,15.07503033,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,1,44.97906494,314.8534546,2016,8.712560654,0,13.53649521,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,29,2,44.97906494,674.6859741,2015,8.712560654,0,9.010788918,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,2,44.97906494,539.7487793,2016,8.712560654,1,5.137093067,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,29,3,44.97906494,179.9162598,2015,8.712560654,0,49.01047134,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,3,44.97906494,179.9162598,2016,8.712560654,0,12.23190212,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,29,4,44.97906494,89.95812988,2016,8.712560654,0,9.263030052,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,29,4,44.97906494,179.9162598,2015,8.712560654,0,37.21337128,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,5,44.97906494,314.8534546,2015,8.712560654,1,4.229768276,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,6,44.97906494,449.7906494,2015,8.712560654,1,5.347548008,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,6,44.97906494,269.8743896,2016,8.712560654,1,2.834296465,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,29,7,44.97906494,359.8325195,2015,8.712560654,0,8.935620308,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,7,44.97906494,359.8325195,2016,8.712560654,1,2.135274172,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,29,8,44.97906494,179.9162598,2015,8.712560654,0,12.27983761,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,8,44.97906494,224.8953247,2016,8.712560654,0,9.2051754,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,29,9,44.97906494,359.8325195,2015,8.712560654,1,1.887069702,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,9,44.97906494,404.8115845,2016,8.712560654,1,0.915493369,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,29,10,44.97906494,359.8325195,2015,8.712560654,1,7.392560005,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,10,44.97906494,179.9162598,2016,8.712560654,0,23.84187889,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,29,11,44.97906494,359.8325195,2016,8.712560654,1,6.067686558,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,29,11,44.97906494,314.8534546,2015,8.712560654,1,3.588282347,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,12,44.97906494,404.8115845,2016,8.712560654,1,4.671917439,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,29,12,44.97906494,404.8115845,2015,8.712560654,0,10.64140987,1,6,0.081192985,80.5
NORTHERN BAHR EL GHAZAL,29,13,35.82584381,358.2584229,2016,8.712560654,0,12.92119503,2,6,0.08086139,108
NORTHERN BAHR EL GHAZAL,33,1,41.49520493,248.9712219,2016,8.712560654,0,12.08988857,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,33,1,41.49520493,248.9712219,2015,8.712560654,0,9.617033958,1,7,0.077638641,80.5
NORTHERN BAHR EL GHAZAL,33,2,41.49520493,456.4472656,2015,8.712560654,0,9.241043091,1,7,0.077638641,80.5
NORTHERN BAHR EL GHAZAL,33,2,41.49520493,414.9520569,2016,8.712560654,0,11.22853374,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,33,3,41.49520493,580.9328613,2016,8.712560654,1,7.126872063,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,33,3,41.49520493,497.9424438,2015,8.712560654,0,9.836684227,1,7,0.077638641,80.5
NORTHERN BAHR EL GHAZAL,33,4,41.49520493,622.4281006,2015,8.712560654,1,6.285022736,1,7,0.077638641,80.5
NORTHERN BAHR EL GHAZAL,33,4,41.49520493,539.4376831,2016,8.712560654,1,1.458058596,2,7,0.077638641,109.5
NORTHERN BAHR EL GHAZAL,33,5,41.49520493,248.9712219,2015,8.712560654,1,6.872375011,1,7,0.077638641,80.5
