,county,state,year,population,pop_percent_change,fatalities,county_hospitals,intensity
285,Nagero,Western Equatoria,2014,14094.0,0.04101035901802185,,,
286,Nyirol,Jonglei,2014,153751.0,0.04212655527443724,,,
287,Nzara,Western Equatoria,2014,92390.0,0.04012338997727027,0.0,7.0,0.0
288,Panyijiar,Unity,2014,71485.0,0.04220465831992726,,,
289,Panyikang,Upper Nile,2014,63036.0,0.048305730059013896,440.0,4.0,69.80138333650612
290,Pariang,Unity,2014,115859.0,0.0399451056888114,214.0,2.0,18.47072734962325
291,Pibor,Jonglei,2014,209590.0,0.04082255832816451,,,
292,Pochalla,Jonglei,2014,93504.0,0.040597193702943186,40.0,1.0,4.277891854893908
293,Raga,Western Bahr el Ghazal,2014,65685.0,0.020552637588490633,,,
294,Renk,Upper Nile,2014,192920.0,0.04830499688990255,195.0,7.0,10.107816711590297
295,Rubkona,Unity,2014,141431.0,0.043915407513204316,1401.0,8.0,99.05890504910522
296,Rumbek Centre,Lakes,2014,215962.0,0.04125262777710893,88.0,6.0,4.074790935442346
297,Rumbek East,Lakes,2014,169575.0,0.03996461742591773,264.0,6.0,15.568332596196372
298,Rumbek North,Lakes,2014,61048.0,0.04011597431529289,,,
299,Tambura,Western Equatoria,2014,75749.0,0.04735376044568245,2.0,5.0,0.2640298881833424
300,Terekeka,Central Equatoria,2014,187686.0,-0.011647112730837676,20.0,6.0,1.065609581961361
301,Tonj East,Warrap,2014,164127.0,0.04309467668330013,3.0,2.0,0.18278528212908296
302,Tonj North,Warrap,2014,236110.0,0.038291474312820296,23.0,6.0,0.9741222311634408
303,Tonj South,Warrap,2014,122969.0,0.04192926672576015,238.0,3.0,19.35447145215461
304,Torit,Eastern Equatoria,2014,140637.0,0.039690835270945767,60.0,8.0,4.266302608844045
305,Twic,Warrap,2014,285835.0,0.034138576451449264,114.0,10.0,3.988314936939143
306,Twic East,Jonglei,2014,119829.0,0.04140066261088718,28.0,2.0,2.3366630782197966
307,Ulang,Upper Nile,2014,120848.0,0.04179630610353502,0.0,2.0,0.0
308,Uror,Jonglei,2014,251560.0,0.039505485768802674,183.0,1.0,7.27460645571633
309,Wau,Western Bahr el Ghazal,2014,213758.0,0.04200544541023026,6.0,18.0,0.2806912489824942
310,Wulu,Lakes,2014,59030.0,0.04130103337286126,,,
311,Yambio,Western Equatoria,2014,214662.0,0.04064529353122583,2.0,9.0,0.09316972729220821
312,Yei,Central Equatoria,2014,278004.0,0.02379102458957425,9.0,10.0,0.3237363491172789
313,Yirol East,Lakes,2014,93900.0,0.041480298189563364,,,
314,Yirol West,Lakes,2014,147946.0,0.037337947629540506,7.0,5.0,0.47314560718099846
315,,TOTALS:,2014,11556345.0,0.040327023812459735,,,
316,Abiemnhom,Unity,2015,31683.0,0.23997096234573745,,,
317,Akobo,Jonglei,2015,188273.0,-0.01977447642519108,56.0,2.0,2.9744041896607585
318,Aweil Centre,Northern Bahr el Ghazal,2015,87394.0,0.3427237567796416,,,
319,Aweil East,Northern Bahr el Ghazal,2015,431148.0,-0.013164852904339113,4.0,6.0,0.09277556662677318
320,Aweil North,Northern Bahr el Ghazal,2015,206227.0,0.10460802901656913,,,
321,Aweil South,Northern Bahr el Ghazal,2015,100235.0,-0.023983638449643338,,,
322,Aweil West,Northern Bahr el Ghazal,2015,234997.0,0.017957676055439006,36.0,10.0,1.5319344502270242
323,Awerial,Lakes,2015,70333.0,0.055336755150498344,0.0,1.0,0.0
324,Ayod,Jonglei,2015,205460.0,0.04234887569356566,283.0,5.0,13.773970602550376
325,Baliet,Upper Nile,2015,102762.0,0.32093575446176603,5.0,1.0,0.4865611802027987
326,Bor South,Jonglei,2015,325643.0,0.041969273099682784,,,
327,Budi,Eastern Equatoria,2015,141506.0,0.024090851271324185,2.0,5.0,0.14133676310545135
328,Canal/Pigi,Jonglei,2015,142551.0,0.02982792123520705,,,
329,Cueibet,Lakes,2015,171516.0,0.03178129154131393,38.0,4.0,2.2155367429277737
330,Duk,Jonglei,2015,95443.0,0.03504709617258468,9.0,3.0,0.9429711974686463
331,Ezo,Western Equatoria,2015,113365.0,0.03463150002205266,4.0,6.0,0.3528425881003837
332,Fangak,Jonglei,2015,159893.0,0.026624054836672024,0.0,6.0,0.0
333,Fashoda,Upper Nile,2015,47524.0,-0.08292652133658783,24.0,4.0,5.050079959599361
334,Gogrial East,Warrap,2015,144706.0,0.026522742664436858,21.0,2.0,1.4512183323428194
335,Gogrial West,Warrap,2015,311870.0,-0.10287299195177478,39.0,8.0,1.2505210504376822
336,Guit,Unity,2015,38436.0,-0.27167239046727026,95.0,1.0,24.716411697367054
337,Ibba,Western Equatoria,2015,59867.0,0.018340655118846777,,,
338,Ikotos,Eastern Equatoria,2015,107072.0,-0.12536424088463838,3.0,4.0,0.2801852958756725
339,Juba,Central Equatoria,2015,528544.0,-0.20860136526003512,165.0,31.0,3.1217836168795787
340,Jur River,Western Bahr el Ghazal,2015,142329.0,-0.2647036092433728,11.0,5.0,0.7728572532653218
341,Kajo-keji,Central Equatoria,2015,272878.0,0.21273609451842948,,,
342,Kapoeta East,Eastern Equatoria,2015,240403.0,-0.07119711484465668,0.0,6.0,0.0
